Player,Span,Matches,Innings,NO,Runs,Highest Score,Average,100's,50's,0's
James Lillywhite jnr (ENG),1877-1877,2,3,1,16,10,8,0,0,0
ACI Lock (ZIM),1995-1996,9,5,3,16,8*,8,0,0,1
BP Loots (NED),2010-2011,7,5,2,16,9*,5.33,0,0,1
WJ Lubbe (SA),2021-2021,2,2,0,16,12,8,0,0,0
B Mahesh (CYP),2024-2024,6,4,1,16,8,5.33,0,0,0
L McCarthy (IRE),2025-2025,4,2,2,16,16*,-,0,0,0
AB Mengoumou (CAM),2021-2022,8,6,1,16,7,3.2,0,0,2
Mohamed Turay (SLE),2025-2025,10,7,4,16,9*,5.33,0,0,1
BS Mudzinganyama (ZIM),2020-2020,1,1,0,16,16,16,0,0,0
Muhammad Ajmal (MLT),2025-2025,4,3,0,16,11,5.33,0,0,1
Muhammad Asjed (ESP),2019-2021,3,2,0,16,9,8,0,0,0
Muhammad Safdar (BHR),2022-2022,3,2,2,16,8*,-,0,0,0
GM Mwendwa (KENYA),2022-2025,28,5,4,16,6*,16,0,0,0
W Mwayenga (ZIM),2002-2005,4,4,1,16,14*,5.33,0,0,1
R Nanan (WI),1980-1980,1,2,0,16,8,8,0,0,0
N Naranbaatar (MNG),2023-2024,13,12,1,16,5,1.45,0,0,5
JM Neblett (WI),1935-1935,1,2,1,16,11*,16,0,0,0
Nitesh (GHA),2026-2026,4,2,2,16,13*,-,0,0,0
AE Ochse (SA),1889-1889,2,4,0,16,8,4,0,0,0
FN Otieno (KENYA),2010-2010,4,4,0,16,8,4,0,0,1
MB Owens (NZ),1992-1994,9,13,6,16,8*,2.28,0,0,6
ASH Parsons (SKOR),2025-2025,4,4,0,16,6,4,0,0,0
JB Plimsoll (SA),1947-1947,1,2,1,16,8*,16,0,0,0
AW Powell (SA),1899-1899,1,2,0,16,11,8,0,0,0
Qadeer Ahmed (UAE),2015-2019,21,10,7,16,5*,5.33,0,0,1
T Ritawa (COK),2022-2024,11,5,1,16,8,4,0,0,0
Rizwan Zahoor (SVN),2025-2025,2,2,2,16,15*,-,0,0,0
BJ Rohrer (AUS),2013-2013,1,1,0,16,16,16,0,0,0
BV Save (MAS),2020-2020,2,2,0,16,9,8,0,0,0
Shafiullah Zakhel (BEL),2025-2025,5,3,2,16,9*,16,0,0,1
JM Sims (ENG),1935-1937,4,4,0,16,12,4,0,0,1
L Smith (Fran),2025-2025,3,3,0,16,11,5.33,0,0,0
S Somasunder (IND),1996-1996,2,2,0,16,9,8,0,0,0
P Taylor (CZK-R),2019-2021,11,3,1,16,7*,8,0,0,0
VP Terry (ENG),1984-1984,2,3,0,16,8,5.33,0,0,0
R Thapliyal (BEL),2023-2025,8,4,3,16,7*,16,0,0,1
Usman Mushtaq (UAE),2015-2016,4,3,1,16,9,8,0,0,0
P Vailoa (COK),2025-2025,2,2,1,16,9,16,0,0,0
A Waddington (ENG),1920-1921,2,4,0,16,7,4,0,0,1
Zeeshan Haider (QAT),2026-2026,4,1,0,16,16,16,0,0,0
Abdul Majid Malik (BHR),2020-2024,9,3,2,15,12,15,0,0,0
Aftab Ahmed (2) (DEN),2019-2021,4,3,0,15,10,5,0,0,0
Agha Zahid (PAK),1975-1975,1,2,0,15,14,7.5,0,0,0
Aanand Pandey (LUX),2021-2021,3,1,0,15,15,15,0,0,0
Anowarul Islam (THA),2019-2019,4,4,0,15,9,3.75,0,0,1
Anwar Khan (PAK),1979-1979,1,2,1,15,12,15,0,0,0
AL Apte (IND),1959-1959,1,2,0,15,8,7.5,0,0,0
RR Beaton (WI),2017-2017,2,2,1,15,12*,15,0,0,0
HK Bennett (NZ),2010-2021,31,10,7,15,4*,5,0,0,1
HJ Butler (ENG),1947-1948,2,2,1,15,15*,15,0,0,1
P Campbell (GMB),2022-2022,5,5,2,15,10,5,0,0,2
JJ Chicuele (MOZ),2025-2025,4,3,2,15,8*,15,0,0,0
K Christie (HKG),2016-2019,12,5,2,15,11*,5,0,0,1
GL Cloete (SA),2018-2019,2,2,0,15,13,7.5,0,0,0
J Dickinson (SCOT),2024-2024,1,1,0,15,15,15,0,0,0
E Kuchey (FIN),2024-2025,6,4,2,15,14*,7.5,0,0,1
L Fereti (Samoa),2023-2023,3,3,1,15,14*,7.5,0,0,1
CG Fichardt (SA),1892-1896,2,4,0,15,10,3.75,0,0,1
HF Gurney (ENG),2014-2014,12,6,4,15,6*,7.5,0,0,0
V Hampihallikar (SGP),2022-2022,6,3,0,15,6,5,0,0,0
JC Hartley (ENG),1906-1906,2,4,0,15,9,3.75,0,0,2
PA Hibbert (AUS),1977-1977,1,2,0,15,13,7.5,0,0,0
RS Higgins (ZIM),2006-2006,11,8,2,15,7*,2.5,0,0,3
DAW Hollis (BER),2008-2008,1,1,1,15,15*,-,0,0,0
H Howell (ENG),1920-1924,5,8,6,15,5,7.5,0,0,0
Ilyas Ahmed (KUW),2019-2024,19,7,6,15,4*,15,0,0,0
Imran Khan (BHR),2022-2026,58,14,5,15,3*,1.66,0,0,4
HL Jackson (ENG),1949-1961,2,2,1,15,8,15,0,0,0
Karma Dorji (BHU),2023-2025,16,8,5,15,6,5,0,0,2
AC Kose (TKY),2019-2019,4,4,0,15,15,3.75,0,0,3
P Kumbhare (JPN),2022-2024,20,9,4,15,5*,3,0,0,3
J Layne (WI),2025-2025,2,3,0,15,14,5,0,0,1
E Malinga (SL),2025-2026,15,9,5,15,4,3.75,0,0,0
Mansoor Rana (PAK),1990-1990,2,2,0,15,10,7.5,0,0,0
N Mapunda (TAN),2021-2021,7,2,1,15,15,15,0,0,0
A Mongar (BHU),2023-2026,7,4,2,15,8*,7.5,0,0,0
TL Moreki (SA),2024-2024,2,4,2,15,6,7.5,0,0,0
Mukesh Kumar (IND),2023-2024,26,10,7,15,6,5,0,0,2
Murat Yilmaz (TKY),2023-2025,7,5,1,15,6,3.75,0,0,1
B Namsrai (MNG),2023-2024,13,12,1,15,5,1.36,0,0,6
N Nankov (BUL),2019-2021,5,3,1,15,14,7.5,0,0,0
D Nath (NEP),2022-2022,4,3,1,15,15*,7.5,0,0,2
S Natsagdorj (MNG),2024-2024,4,4,0,15,11,3.75,0,0,0
Nazmus Sakib (MAS),2024-2024,4,4,2,15,8,7.5,0,0,0
Nurul Abedin (BAN),1986-1990,4,4,0,15,13,3.75,0,0,2
AW Palm (SA),1927-1928,1,2,0,15,13,7.5,0,0,0
Parveen Kumar (FIN),2022-2024,7,5,1,15,11,3.75,0,0,2
LA Pomersbach (AUS),2007-2007,1,1,0,15,15,15,0,0,0
Ramandeep Singh (IND),2024-2024,2,1,0,15,15,15,0,0,0
MR Rege (IND),1949-1949,1,2,0,15,15,7.5,0,0,1
Riaz Afridi (CZK-R),2023-2024,4,3,0,15,11,5,0,0,0
Sajjad Ahmed (BAN),1995-1995,2,2,0,15,11,7.5,0,0,0
D Samarawickrama (ITA),2022-2022,3,3,0,15,13,5,0,0,0
RHO Saunders (NOR),2022-2022,2,2,0,15,14,7.5,0,0,0
MWW Selvey (ENG),1976-1977,3,5,3,15,5*,7.5,0,0,1
Shoaib Ali (KSA),2019-2020,8,3,0,15,9,5,0,0,1
LW Stokkers (NED),2008-2008,1,1,1,15,15*,-,0,0,0
Subashis Roy (BAN),2016-2017,5,7,6,15,12*,15,0,0,1
Tariq Javed (CAN),1979-1979,3,3,0,15,8,5,0,0,0
Usama Master (MWI),2019-2019,6,2,0,15,15,7.5,0,0,1
PS Vaidya (IND),1995-1996,4,2,0,15,12,7.5,0,0,0
TV Valivarthi (HUN),2025-2025,5,3,1,15,10,7.5,0,0,0
A van der Merwe (IRE),2010-2011,9,6,2,15,8,3.75,0,0,2
R Vishwanath (LUX),2019-2023,6,5,2,15,5,5,0,0,0
J Yon (STHEL),2024-2026,6,4,3,15,9*,15,0,0,1
Zaheer Maqsood (UAE),2015-2016,5,3,2,15,8*,15,0,0,0
Zaki Ul Hassan (BEL),2019-2025,14,6,4,15,11*,7.5,0,0,1
Adnan Razzaq (BEL),2021-2025,11,4,3,14,7*,14,0,0,0
MJC Allom (ENG),1930-1931,5,3,2,14,8*,14,0,0,0
Asghar Ali (UAE),2004-2004,2,2,0,14,14,7,0,0,1
Asif Mahmood (PAK),1998-1998,2,2,0,14,14,7,0,0,1
Azhar Khan (PAK),1980-1980,1,1,0,14,14,14,0,0,0
LS Barkania (TAN),2024-2026,20,4,3,14,9*,14,0,0,0
IPP Batuwitarachchi (UAE),2008-2008,2,2,0,14,14,7,0,0,1
S Bevin (CRT),2025-2025,3,3,1,14,14,7,0,0,1
D Birrell (JER),2021-2024,16,5,2,14,6*,4.66,0,0,1
P Cabebula (Fiji),2022-2023,10,8,2,14,6*,2.33,0,0,4
A Carthew (Chile),2019-2023,6,3,2,14,6*,14,0,0,0
G Chapple (ENG),2006-2006,1,1,0,14,14,14,0,0,0
A Chaubey (CRT),2024-2024,4,4,0,14,7,3.5,0,0,1
GF Cresswell (NZ),1949-1951,3,5,3,14,12*,7,0,0,1
HS Dhillon (CAN),2006-2006,2,2,0,14,13,7,0,0,0
BM Dlamini (SWZ),2022-2024,6,5,0,14,10,2.8,0,0,3
G Dutta (MEX),2019-2019,7,6,0,14,8,2.33,0,0,3
EA Essop-Adam (ZIM),1992-1992,1,1,1,14,14*,-,0,0,0
P Hutchinson (SA),1889-1889,2,4,0,14,11,3.5,0,0,2
SD Jack (SA),1994-1995,4,4,0,14,7,3.5,0,0,1
B Jagroo (BHM),2021-2022,9,4,3,14,5*,14,0,0,1
A Kalasi (THA),2023-2025,12,6,4,14,8*,7,0,0,2
Khalid Wazir (PAK),1954-1954,2,3,1,14,9*,7,0,0,0
S Kubheka (SWA/SWZ),2021-2025,10,7,3,14,5*,3.5,0,0,1
T Langa (VAN),2019-2019,1,1,0,14,14,14,0,0,0
DE Martel (GUE),2022-2024,6,3,1,14,10,7,0,0,0
F Martin (ENG),1890-1892,2,2,0,14,13,7,0,0,0
A Mehmood (HKG),2016-2024,7,2,2,14,14*,-,0,0,0
Mohammad Waheed (HKG),2023-2026,4,3,2,14,7,14,0,0,0
S Morris (AUS),1885-1885,1,2,1,14,10*,14,0,0,0
Nadeem Ghauri (PAK),1990-1990,7,4,2,14,7*,7,0,0,1
MJ Nicholson (AUS),1998-1998,1,2,0,14,9,7,0,0,0
IA Nicolson (ZIM),2010-2010,2,2,0,14,14,7,0,0,1
ASM Oakman (ENG),1956-1956,2,2,0,14,10,7,0,0,0
CT Patankar (IND),1955-1956,1,2,1,14,13,14,0,0,0
SR Patil (IND),1955-1955,1,1,1,14,14*,-,0,0,0
C Prasad (CRC),2019-2019,3,3,1,14,11,7,0,0,1
HLE Promnitz (SA),1927-1928,2,4,0,14,5,3.5,0,0,0
Rakibul Hasan (ITA),2019-2019,8,4,1,14,5*,4.66,0,0,1
CM Rocca (GIBR),2022-2022,2,1,0,14,14,14,0,0,0
A Rose-Innes (SA),1889-1889,2,4,0,14,13,3.5,0,0,2
AJA Samuels (COK),2024-2024,6,2,2,14,11*,-,0,0,0
T Sandaruwan (ROM),2025-2025,4,4,1,14,10*,4.66,0,0,2
Shahzad Muhammad (MEX),2019-2019,2,1,0,14,14,14,0,0,0
J Shaju (MLT),2021-2024,23,9,4,14,4*,2.8,0,0,1
Shunan Ali (MDV),2022-2024,10,2,2,14,11*,-,0,0,0
D Soraine (CAN),2006-2012,4,4,0,14,6,3.5,0,0,1
AL Stephen (VAN),2019-2024,16,8,1,14,7,2,0,0,3
TE Sumiya (MNG),2023-2024,6,5,3,14,9*,7,0,0,1
Syed Aqeel Israr (GHA),2023-2024,10,7,4,14,10*,4.66,0,0,2
Tarun Yadav (BUL),2022-2022,3,2,0,14,8,7,0,0,0
Thilina Silva (SEY),2026-2026,4,2,1,14,12,14,0,0,0
NC Tufnell (ENG),1910-1910,1,1,0,14,14,14,0,0,0
H Upadhyay (MNG),2024-2024,5,5,0,14,8,2.8,0,0,1
S Varathappan (KUW),2019-2019,3,3,0,14,9,4.66,0,0,1
GF Vernon (ENG),1882-1883,1,2,1,14,11*,14,0,0,0
Vraj Patel (KENYA),2021-2025,64,9,5,14,4*,3.5,0,0,2
VS Wategaonkar (OMA),2016-2016,2,1,0,14,14,14,0,0,0
SMK Waththage (CZK-R),2019-2022,19,5,3,14,5*,7,0,0,0
LJ Woodcock (NZ),2010-2011,7,2,1,14,11,14,0,0,0
Zahid Razzak (BAN),1988-1990,3,3,0,14,6,4.66,0,0,0
AG Achar (SGP),2019-2025,13,6,4,13,5*,6.5,0,0,0
Ali Muaaz (GRC),2024-2024,4,4,0,13,10,3.25,0,0,1
Asad Ali (PAK),2013-2013,6,2,0,13,11,6.5,0,0,0
Ashish Rana (EST),2021-2022,5,3,2,13,8*,13,0,0,0
RD Atangana (CAM),2022-2024,14,10,4,13,4,2.16,0,0,2
A Awasthi (CRT),2025-2025,8,6,2,13,4,3.25,0,0,0
KMA Aziz (CIV),2024-2024,5,5,0,13,10,2.6,0,0,3
Aziz Sualley (GHA),2021-2024,13,7,3,13,4*,3.25,0,0,1
KF Bakiweyem (GHA),2021-2021,3,3,1,13,11*,6.5,0,0,1
SN Banerjee (IND),1949-1949,1,2,0,13,8,6.5,0,0,0
MD Bates (NZ),2012-2012,5,1,0,13,13,13,0,0,0
KA Bazil (CAY),2022-2025,14,7,3,13,7,3.25,0,0,0
GA Bishop (AUS),1987-1987,2,2,0,13,7,6.5,0,0,0
GK Bose (IND),1974-1974,1,1,0,13,13,13,0,0,0
A Bushell (GUE),2023-2025,5,2,0,13,8,6.5,0,0,0
A Coningham (AUS),1894-1895,1,2,0,13,10,6.5,0,0,0
WH Cooper (AUS),1881-1884,2,3,1,13,7,6.5,0,0,0
Hon.CJ Coventry (ENG),1889-1889,2,2,1,13,12,13,0,0,0
R Dhawan (IND),2016-2016,4,3,2,13,9,13,0,0,0
Y Divekar (ISR),2024-2024,3,3,1,13,11,6.5,0,0,1
TWJ Goddard (ENG),1930-1939,8,5,3,13,8,6.5,0,0,1
Gurkeerat Singh (IND),2016-2016,3,3,1,13,8,6.5,0,0,0
MJ Haslam (NZ),1992-1995,5,3,1,13,9,6.5,0,0,0
RL Hayes (NZ),1995-1995,1,1,0,13,13,13,0,0,0
L Hone (ENG),1879-1879,1,2,0,13,7,6.5,0,0,0
RO Hurley (WI),2003-2004,9,4,0,13,6,3.25,0,0,1
AL Leutogi (Samoa),2023-2023,2,1,1,13,13*,-,0,0,0
Ilyas Cetin (TKY),2025-2025,4,2,0,13,7,6.5,0,0,0
KR Jha (AUT),2025-2026,7,5,0,13,7,2.6,0,0,2
D Joseph (CAN),2003-2003,4,3,3,13,9*,-,0,0,0
ST Kanakalil (MLT),2020-2020,3,1,1,13,13*,-,0,0,0
UN Kulkarni (IND),1967-1968,4,8,5,13,7,4.33,0,0,1
SKR Mallidi (SWE),2024-2024,3,2,0,13,12,6.5,0,0,0
JL Martel (GUE),2019-2019,3,1,1,13,13*,-,0,0,0
P Masih (ROM),2020-2020,3,1,0,13,13,13,0,0,0
Merwais Shinwari (SVN),2024-2024,6,4,2,13,12,6.5,0,0,1
M Montgomery (GER),2023-2023,1,1,0,13,13,13,0,0,0
Muhammad Hamayun (KSA),2019-2019,4,2,0,13,8,6.5,0,0,0
D Mullen (GUE),2023-2024,10,3,2,13,9*,13,0,0,0
AMN Munasinghe (SL),1994-1996,5,4,1,13,8,4.33,0,0,1
Munir Ahmad (AFG),2021-2021,1,2,0,13,12,6.5,0,0,0
HA Musgrove (AUS),1885-1885,1,2,0,13,9,6.5,0,0,0
Nageebullah Sultanzai (AUT),2026-2026,1,1,1,13,13*,-,0,0,0
Nawaf Ahmed (KUW),2019-2024,10,7,4,13,10*,4.33,0,0,1
Nazwan Ismail (MDV),2019-2024,14,8,6,13,5*,6.5,0,0,1
Niaz Ali (HKG),2023-2023,5,3,0,13,12,4.33,0,0,1
Noah Mead (Samoa),2024-2025,12,4,1,13,7*,4.33,0,0,1
Omar Hayat (DEN),2019-2022,8,4,0,13,6,3.25,0,0,0
HC Overdijk (NED),2018-2019,4,1,0,13,13,13,0,0,0
Pankaj Singh (IND),2010-2014,3,5,2,13,9,4.33,0,0,2
PWG Parker (ENG),1981-1981,1,2,0,13,13,6.5,0,0,1
J Paveley (Falk),2025-2025,3,3,0,13,6,4.33,0,0,0
P Pirabakaran (Fran),2023-2023,3,1,0,13,13,13,0,0,0
R Pollard (ENG),1946-1948,4,3,2,13,10*,13,0,0,0
MD Rae (NZ),2025-2025,2,1,0,13,13,13,0,0,0
S Ragoonath (WI),1999-1999,2,4,1,13,9,4.33,0,0,1
Rahman Ademi (SRB),2019-2024,9,5,2,13,11*,4.33,0,0,1
A Rangaswamy (BOT),2019-2021,8,5,1,13,7,3.25,0,0,2
AG Roe (Chile),2023-2023,2,2,0,13,13,6.5,0,0,1
Sajid Khan (CRT),2025-2025,8,6,2,13,5,3.25,0,0,2
J Sebanja (UGA),2021-2023,9,5,1,13,8,3.25,0,0,0
S Seeraj (CAN),2006-2006,1,1,1,13,13*,-,0,0,0
AA Shafique (OMA),2023-2023,2,1,0,13,13,13,0,0,0
Shakeel Zeb (DEN),2025-2025,3,1,0,13,13,13,0,0,0
T Shanmugam (SEY),2022-2022,6,2,1,13,8*,13,0,0,0
B Stanlake (AUS),2017-2019,26,7,3,13,7,3.25,0,0,1
RT Stanyforth (ENG),1927-1928,4,6,1,13,6*,2.6,0,0,1
RB Stewart (SA),1889-1889,1,2,0,13,9,6.5,0,0,0
S Sugaya-Slater (JPN),2025-2026,10,4,2,13,9*,6.5,0,0,1
Syed Naqvi (ITA),2023-2026,5,5,0,13,6,2.6,0,0,1
OFJ Tonuu (Samoa),2019-2019,4,3,1,13,6*,6.5,0,0,0
PHJ Trimborn (SA),1967-1970,4,4,2,13,11*,6.5,0,0,1
V Viyaskanth (SL),2023-2025,2,2,2,13,13*,-,0,0,0
KP Walmsley (NZ),1995-2003,5,5,0,13,5,2.6,0,0,2
A Wright (CAY),2023-2026,27,9,4,13,6,2.6,0,0,3
T Zotos (GRC),2021-2022,7,5,1,13,6,3.25,0,0,2
Abdul Wasi (AFG),2021-2021,1,2,0,12,9,6,0,0,0
Abhilash Patil (MEX),2024-2024,1,1,0,12,12,12,0,0,0
Abul Farhad (CZK-R),2022-2025,13,5,2,12,6*,4,0,0,1
JP Agnew (ENG),1984-1985,6,5,4,12,5,12,0,0,0
MA Algi (MOZ),2025-2025,5,3,1,12,10,6,0,0,0
Arslan Ahmed (POR),2019-2019,3,3,0,12,11,4,0,0,1
Asad Mohammad (GER),2019-2021,11,4,1,12,5,4,0,0,0
Asim Saeed (UAE),2004-2004,2,2,0,12,12,6,0,0,1
DM Basden (BER),2007-2007,2,2,0,12,7,6,0,0,0
A Bhargava (SGP),2022-2023,5,3,1,12,5,6,0,0,0
JT Brassell (NAM),2024-2026,30,10,4,12,5*,2,0,0,4
M Commins (IRE),2023-2023,4,5,0,12,6,2.4,0,0,2
Dayal Joy (SVN),2025-2025,3,3,0,12,9,4,0,0,0
PA Desai (CAN),2010-2014,14,9,6,12,4*,4,0,0,2
DV Devjani Mutreja (MEX),2024-2026,13,7,2,12,4,2.4,0,0,2
S Dhamala (NEP),2022-2022,1,1,0,12,12,12,0,0,0
V Dwivedi (EST),2022-2022,2,2,1,12,7,12,0,0,0
Elias Tilman (TLS),2025-2025,8,8,3,12,8,2.4,0,0,4
Farmanullah (AFG),2025-2025,1,1,0,12,12,12,0,0,0
Fazal Niazai (AFG),2019-2019,1,1,0,12,12,12,0,0,0
CE Floquet (SA),1910-1910,1,2,1,12,11*,12,0,0,0
CJ Gannon (USA),2019-2019,4,3,2,12,7*,12,0,0,0
Ghulam Abbas (PAK),1967-1967,1,2,0,12,12,6,0,0,1
GL Gibbs (WI),1955-1955,1,2,0,12,12,6,0,0,1
G Gladstone (WI),1930-1930,1,1,1,12,12*,-,0,0,0
M Grzinic (CRT),2024-2024,3,3,0,12,6,4,0,0,0
Haroon Shahid (KUW),2022-2022,2,2,1,12,7,12,0,0,0
Harvinder Singh (IND),1997-2001,19,9,2,12,6,1.71,0,0,3
H Helva (TKY),2019-2019,4,4,0,12,7,3,0,0,2
JL Hopwood (ENG),1934-1934,2,3,1,12,8,6,0,0,0
Imtiaz Abbasi (UAE),1994-1996,7,6,4,12,6*,6,0,0,0
S Iturbe (ARG),2023-2025,12,4,2,12,9*,6,0,0,0
Jason Lui (HKG),2024-2024,1,1,1,12,12*,-,0,0,0
Javed Qadeer (PAK),1995-1995,1,1,0,12,12,12,0,0,0
SH Johnson (AUS),2023-2025,13,4,2,12,12*,6,0,0,2
RR Joshi (CAN),2021-2024,8,3,0,12,8,4,0,0,0
JMV Junior (Fiji),2024-2024,2,2,1,12,9,12,0,0,0
Lee Kangmin (SKOR),2022-2024,6,4,2,12,9*,6,0,0,1
MCE Manalo (PHI),2025-2025,1,1,0,12,12,12,0,0,0
G Mangau (VAN),2023-2023,3,2,2,12,9*,-,0,0,0
PS Mehta (EAf),1975-1975,1,1,0,12,12,12,0,0,0
D Mejia (CRC),2019-2019,3,1,0,12,12,12,0,0,0
PJK Mooney (IRE),2006-2007,4,3,2,12,11*,12,0,0,1
Mrittunjoy Chowdhury (BAN),2023-2023,2,2,0,12,8,6,0,0,0
A Mucyodusenge (RWN),2022-2025,4,4,0,12,9,3,0,0,1
T Muzarabani (ZIM),2015-2016,17,8,4,12,5,3,0,0,1
Nader Zahadiafzal (Iran),2020-2020,3,3,0,12,12,4,0,0,2
Naeemuddin Aslam (UAE),2004-2004,2,2,0,12,12,6,0,0,1
Naveed Shahid (FIN),2021-2022,6,1,1,12,12*,-,0,0,0
TS Nethula (NZ),2012-2012,5,3,1,12,9*,6,0,0,1
SF Nhavotso (MOZ),2021-2021,4,3,0,12,5,4,0,0,0
Noor-ul-Haq (AFG),2010-2010,2,2,0,12,12,6,0,0,1
Nouman Butt (NOR),2023-2023,2,2,0,12,7,6,0,0,0
NT Pascal (WI),2009-2010,3,3,0,12,10,4,0,0,1
A Patel (MWI),2019-2019,2,2,1,12,6*,12,0,0,0
M Patel (Chile),2019-2019,3,3,0,12,8,4,0,0,1
ACS Pigott (ENG),1984-1984,1,2,1,12,8*,12,0,0,0
M Prasidh Krishna (IND),2021-2026,34,17,10,12,5*,1.71,0,0,5
Raag Kapur (HKG),2019-2023,7,3,1,12,6,6,0,0,0
Rasheed Rassam (MDV),2023-2024,3,1,1,12,12*,-,0,0,0
ACL Richards (WI),2007-2007,2,2,0,12,10,6,0,0,0
EJ Richardson (IRE),2013-2013,2,1,0,12,12,12,0,0,0
Sabir Ali (UAE),2022-2023,7,4,2,12,7,6,0,0,0
Saif-Ul Islam (NOR),2023-2023,2,2,0,12,6,6,0,0,0
Sanjay Kumar Ahir (PAN),2024-2025,7,5,3,12,4*,6,0,0,1
MM Sarwar (KUW),2019-2021,7,4,1,12,8,4,0,0,1
B Siddharth (OMA),2024-2025,6,6,1,12,5,2.4,0,0,3
O Stewart (BHM),2021-2021,5,5,0,12,12,2.4,0,0,4
KK Tillett (Blz),2021-2021,5,3,0,12,9,4,0,0,1
S Toutai (Samoa),2023-2023,3,3,0,12,9,4,0,0,0
S Vasilakis (GRC),2024-2024,4,4,2,12,7*,6,0,0,1
Wafadar Momand (AFG),2018-2024,4,3,1,12,6*,6,0,0,1
Wafiullah Tarakhil (AFG),2025-2025,2,2,0,12,11,6,0,0,0
FH Walters (AUS),1885-1885,1,2,0,12,7,6,0,0,0
CD Watson (WI),1960-1962,7,6,1,12,5,2.4,0,0,2
MG Webb (NZ),1971-1974,3,2,0,12,12,6,0,0,1
Zahid Hussain (CAN),2011-2012,5,4,3,12,7*,12,0,0,0
Zahid Zadran (GER),2023-2024,8,4,1,12,4*,4,0,0,0
Zou Kui (CHN),2023-2024,7,5,1,12,10,3,0,0,3
Zubaid Akbari (AFG),2023-2025,4,4,0,12,5,3,0,0,0
Zulfiqar Ali Shah (POR),2021-2021,1,1,0,12,12,12,0,0,0
FS Ahangama (SL),1985-1985,4,3,1,11,11,5.5,0,0,1
Ahmed Kamal (BAN),1999-1999,1,1,0,11,11,11,0,0,0
Ahmed Khan (HUN),2025-2025,3,2,1,11,10*,11,0,0,0
C Alexander (Falk),2025-2025,6,6,0,11,5,1.83,0,0,3
Ali Ivan (MDV),2019-2019,1,1,0,11,11,11,0,0,0
MJD Allingham (SCOT),1999-1999,3,3,0,11,6,3.66,0,0,0
Apon Mustafizur (SRB),2019-2021,4,4,0,11,11,2.75,0,0,3
Arshad Pervez (PAK),1978-1978,2,2,0,11,8,5.5,0,0,0
Asif Shaikh (BHR),2025-2026,17,5,3,11,9,5.5,0,0,1
Assad Borham (QAT),2022-2022,7,3,1,11,8*,5.5,0,0,0
L Berthe (Mali),2022-2024,10,9,3,11,7,1.83,0,0,4
BJ Bess (WI),2010-2010,1,2,1,11,11*,11,0,0,1
A Bishnoi (MLT),2021-2023,12,9,5,11,4*,2.75,0,0,3
EG Bock (SA),1935-1935,1,2,2,11,9*,-,0,0,0
SJE Brown (ENG),1996-1996,1,2,1,11,10*,11,0,0,0
J Buchanan (CAY),2023-2026,8,3,1,11,10,5.5,0,0,0
A Bulow (DEN),2019-2019,2,1,0,11,11,11,0,0,0
LJ Burger (NAM),2003-2003,6,6,1,11,5,2.2,0,0,2
SF Burger (NAM),2003-2003,2,2,0,11,6,5.5,0,0,0
S Chophel (BHU),2019-2023,5,4,1,11,4,3.66,0,0,0
KD Clarke (NZ),2026-2026,2,2,0,11,9,5.5,0,0,0
A Daxini (CRT),2023-2023,4,3,0,11,5,3.66,0,0,0
R Dhakal (NEP),2024-2025,12,4,2,11,5,5.5,0,0,0
GS Dinusha (SL),2025-2025,1,1,0,11,11,11,0,0,0
J Dowling (BUL),2025-2025,8,4,2,11,5*,5.5,0,0,0
TJ Draca (ITA),2024-2026,11,3,1,11,5,5.5,0,0,0
WF Giffen (AUS),1887-1892,3,6,0,11,3,1.83,0,0,1
GI Gokoel (SUR),2024-2024,5,3,2,11,9,11,0,0,0
S Goustis (GRC),2019-2019,3,1,0,11,11,11,0,0,0
EJ Gregory (AUS),1877-1877,1,2,0,11,11,5.5,0,0,1
TU Groube (AUS),1880-1880,1,2,0,11,11,5.5,0,0,1
GM Guard (IND),1958-1960,2,2,0,11,7,5.5,0,0,0
CEJ Guest (AUS),1963-1963,1,1,0,11,11,11,0,0,0
Haafiz Shahid (PAK),1988-1988,3,3,2,11,7*,11,0,0,0
AE Hall (SA),1923-1931,7,8,2,11,5,1.83,0,0,4
GW Humpage (ENG),1981-1981,3,2,0,11,6,5.5,0,0,0
Y Jasti (MEX),2024-2025,8,4,0,11,7,2.75,0,0,1
IGTR Kumara (MDV),2020-2020,3,3,0,11,5,3.66,0,0,0
J Lassayo (SLE),2023-2025,10,6,2,11,5,2.75,0,0,3
BG Lister (NZ),2023-2024,15,6,3,11,5*,3.66,0,0,1
Mabsar Abdulla (MDV),2024-2024,2,1,0,11,11,11,0,0,0
AK Mandal (NEP),2015-2015,2,2,0,11,9,5.5,0,0,0
Mazhar Khan (SVN),2022-2024,5,4,1,11,7,3.66,0,0,1
JM Mennie (AUS),2016-2016,3,4,0,11,10,2.75,0,0,2
MJ Mindley (WI),2022-2024,2,2,1,11,11*,11,0,0,1
VM Muddiah (IND),1959-1960,2,3,1,11,11,5.5,0,0,1
FC Muniz (BRA),2025-2025,6,5,3,11,8*,5.5,0,0,1
K Namchaikul (THA),2022-2024,18,8,4,11,5*,2.75,0,0,2
A Nimaga (Mali),2024-2024,3,3,1,11,7,5.5,0,0,0
JM Noreiga (WI),1971-1971,4,5,2,11,9,3.66,0,0,1
JJ Nyambo (TAN),2022-2024,13,6,2,11,4,2.75,0,0,1
AL Ochse (SA),1928-1929,3,4,1,11,4*,3.66,0,0,0
